portfolio_name,portfolio_index,rebalance,equity_1,equity_2,fixed_income_1,fixed_income_2,alternatives_1,alternatives_2,common_return_count,max_daily_horizon,rolling_origin_count,temporal_holdout_count
equal_class_history_021,21,none,EFASIM,VOESIM,IEISIM,TLTSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_022,22,quarterly,XLKSIM,XLYSIM,IEFSIM,SHYSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_023,23,monthly,VTSIM,XLUSIM,IEISIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_024,24,monthly,SPXUSIM,VBSIM,IEFSIM,SHYSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_025,25,annually,UBTSIM,VEASIM,TLTSIM,ZROZSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_026,26,none,VOESIM,VUGSIM,IEISIM,SHYSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_027,27,annually,EFASIM,VTISIM,IEFSIM,TLTSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_028,28,none,VOOSIM,XLFSIM,SHYSIM,ZROZSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_029,29,quarterly,SDSSIM,XLBSIM,IEFSIM,IEISIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_030,30,quarterly,SPXLSIM,VTVSIM,TLTSIM,ZROZSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_031,31,quarterly,SPYSIM,VOSIM,SHYSIM,TLTSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_032,32,annually,TMFSIM,UGLSIM,IEFSIM,ZROZSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_033,33,monthly,SPMOSIM,XLVSIM,IEISIM,SHYSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_034,34,monthly,VVSIM,XLCSIM,IEISIM,TLTSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_035,35,monthly,IWMSIM,SSOSIM,IEFSIM,ZROZSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_036,36,monthly,UWMSIM,XLESIM,IEFSIM,TLTSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_037,37,none,URTHSIM,XLPSIM,SHYSIM,ZROZSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_038,38,quarterly,TECLSIM,TYDSIM,IEFSIM,IEISIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_039,39,monthly,VBKSIM,VBRSIM,IEISIM,TLTSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_040,40,none,IWCSIM,XLISIM,SHYSIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_041,41,monthly,URTYSIM,VOTSIM,IEISIM,ZROZSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_042,42,quarterly,TNASIM,UPROSIM,SHYSIM,TLTSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_043,43,monthly,VXUSSIM,XLYSIM,IEFSIM,IEISIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_044,44,monthly,IWMSIM,VEASIM,SHYSIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_045,45,annually,UWMSIM,VBKSIM,IEFSIM,TLTSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_046,46,none,TNASIM,VOESIM,IEFSIM,ZROZSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_047,47,monthly,SPXUSIM,UBTSIM,SHYSIM,TLTSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_048,48,quarterly,VOSIM,VTISIM,IEISIM,TLTSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_049,49,annually,SPXLSIM,VOOSIM,IEFSIM,SHYSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_050,50,none,URTYSIM,XLCSIM,IEISIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_051,51,none,VOTSIM,XLBSIM,IEFSIM,SHYSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_052,52,annually,EFASIM,IWCSIM,IEISIM,ZROZSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_053,53,monthly,TECLSIM,VUGSIM,SHYSIM,TLTSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_054,54,none,UGLSIM,VXUSSIM,TLTSIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_055,55,annually,TYDSIM,UPROSIM,IEFSIM,IEISIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_056,56,monthly,SPYSIM,XLISIM,IEFSIM,SHYSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_057,57,quarterly,SPMOSIM,VVSIM,TLTSIM,ZROZSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_058,58,quarterly,VBSIM,XLESIM,IEISIM,TLTSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_059,59,monthly,SDSSIM,XLFSIM,IEFSIM,SHYSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_060,60,annually,XLPSIM,XLUSIM,IEISIM,ZROZSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_061,61,monthly,URTHSIM,XLVSIM,TLTSIM,ZROZSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_062,62,none,TMFSIM,VTSIM,IEISIM,SHYSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_063,63,monthly,VTVSIM,XLKSIM,IEFSIM,IEISIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_064,64,quarterly,SSOSIM,XLYSIM,IEFSIM,TLTSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_065,65,annually,VBRSIM,VOSIM,SHYSIM,ZROZSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_066,66,none,SPMOSIM,SPXUSIM,IEFSIM,SHYSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_067,67,monthly,VBKSIM,XLFSIM,IEISIM,TLTSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_068,68,quarterly,SDSSIM,VTISIM,IEISIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_069,69,none,IWMSIM,TNASIM,SHYSIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_070,70,quarterly,UGLSIM,URTHSIM,IEFSIM,TLTSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_071,71,quarterly,VTSIM,XLISIM,IEISIM,SHYSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_072,72,annually,XLCSIM,XLPSIM,IEFSIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_073,73,none,UBTSIM,VBSIM,SHYSIM,TLTSIM,GLDSIM,GSGSIM,11687,8766,48,3
equal_class_history_074,74,annually,VOESIM,XLUSIM,IEFSIM,TLTSIM,REITSIM,SLVSIM,11687,8766,48,3
equal_class_history_075,75,annually,TECLSIM,XLKSIM,IEISIM,ZROZSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_076,76,monthly,SPYSIM,URTYSIM,IEFSIM,IEISIM,GSGSIM,SLVSIM,11687,8766,48,3
equal_class_history_077,77,quarterly,SPXLSIM,XLBSIM,TLTSIM,ZROZSIM,GLDSIM,SLVSIM,11687,8766,48,3
equal_class_history_078,78,annually,UPROSIM,VEASIM,SHYSIM,TLTSIM,GSGSIM,REITSIM,11687,8766,48,3
equal_class_history_079,79,annually,VOTSIM,XLVSIM,IEISIM,SHYSIM,GLDSIM,REITSIM,11687,8766,48,3
equal_class_history_080,80,quarterly,VBRSIM,XLESIM,IEFSIM,ZROZSIM,GSGSIM,SLVSIM,11687,8766,48,3

